,mean,std
accuracy,0.7901479085148541,0.058911987984808054
precision,0.740936478453723,0.1525264793112628
recall,0.6973369481808417,0.11663528175498264
f1,0.7156200650181728,0.12815841350244567
auroc,0.8153278444188542,0.06637899185809004
auprc,0.7885935256966713,0.1527375026977793
