,mean,std
accuracy,0.8135983920857155,0.044736070385921416
precision,0.7623047569156013,0.15128491412520592
recall,0.7165806346011023,0.1260924503675877
f1,0.7363143257848804,0.13185967209065136
auroc,0.8425858435324582,0.04637616575617409
auprc,0.7987343052350944,0.15572408807051225
