target,fingerprint,split,mae,mse,rmse,r2
CHEMBL240,ECFP,train,0.41065520559021446,0.31408894516862246,0.5604363881553575,0.5211391084566641
CHEMBL240,ECFP,scaffold,0.5350054115795312,0.5197265582063232,0.7209206323905033,0.37004592970714356
CHEMBL240,ECFP,random,0.5277103261860502,0.5308560984589343,0.7285987225207949,0.35008208117704676
CHEMBL240,MACCS Keys,train,0.41544366730933163,0.31770090666402595,0.5636496311220526,0.5156323017749436
CHEMBL240,MACCS Keys,scaffold,0.5566372379243867,0.5641887036018209,0.7511249587131431,0.3161539185647625
CHEMBL240,MACCS Keys,random,0.5364268141881456,0.5727375520807221,0.7567942600738473,0.2988073435331352
CHEMBL240,AP2,train,0.4689243462388803,0.40296413088206384,0.6347945580123256,0.38563974968754267
CHEMBL240,AP2,scaffold,0.5607560809495887,0.5927311425359449,0.7698903444880608,0.2815579848016493
CHEMBL240,AP2,random,0.5650439234211809,0.6104924380181118,0.7813401551297052,0.2525846911701719
CHEMBL240,AP3,train,0.4565953660238672,0.38201998081630584,0.6180776495039323,0.4175712599408625
CHEMBL240,AP3,scaffold,0.5503383568679184,0.554160544376007,0.7444196023587819,0.328308925119841
CHEMBL240,AP3,random,0.5592164617533724,0.5900939002634968,0.7681756962202702,0.2775582673295054
CHEMBL240,AP2+AP3,train,0.4340972427913516,0.3463027676118423,0.5884749507089,0.4720258239158873
CHEMBL240,AP2+AP3,scaffold,0.5457707668721421,0.5416481821632206,0.7359675143396077,0.34347500309000756
CHEMBL240,AP2+AP3,random,0.5485496475786226,0.5689059228268833,0.7542585251933739,0.3034983408063796
