target,fingerprint,split,mae,mse,rmse,r2
CHEMBL5763,ECFP,train,0.4304251451456712,0.32910192339300987,0.5736740567543646,0.6924936305429781
CHEMBL5763,ECFP,scaffold,0.5917033230820044,0.6705479011526703,0.8188698926891074,0.444387571887933
CHEMBL5763,ECFP,random,0.5004610978681702,0.4275153640845018,0.6538465906346089,0.6072912618310222
CHEMBL5763,MACCS Keys,train,0.4693057473212027,0.3763757029747604,0.613494664177905,0.6483219399620765
CHEMBL5763,MACCS Keys,scaffold,0.639323469046041,0.7492165830769194,0.8655729796365639,0.37920312003121737
CHEMBL5763,MACCS Keys,random,0.5461657466842056,0.5091702148046869,0.7135616405081533,0.5322844291283688
CHEMBL5763,AP2,train,0.5506426221151216,0.5199689485237995,0.7210887244464439,0.5141512333247735
CHEMBL5763,AP2,scaffold,0.7016964341625771,0.8847857844743586,0.9406305249535327,0.26687120006522635
CHEMBL5763,AP2,random,0.5974031119671398,0.6187027981767708,0.7865766321069873,0.4316695595398755
CHEMBL5763,AP3,train,0.5241749681760577,0.47315457310380543,0.687862321328771,0.5578936656854899
CHEMBL5763,AP3,scaffold,0.6846619138195396,0.8586865641783477,0.9266534218241185,0.28849687533103674
CHEMBL5763,AP3,random,0.5793827399135629,0.5766305492138097,0.7593619355839544,0.47031645083361107
CHEMBL5763,AP2+AP3,train,0.4913012412174947,0.4177658798827011,0.6463481104503216,0.6096477720905464
CHEMBL5763,AP2+AP3,scaffold,0.6637696308751313,0.8079891405850277,0.8988821616791757,0.33050449115279923
CHEMBL5763,AP2+AP3,random,0.5523785358972372,0.5306441907623606,0.7284532866027584,0.512558780156974
