target,fingerprint,split,mae,mse,rmse,r2
CHEMBL279,ECFP,train,0.5100940054563586,0.44374641442995383,0.6661429384373551,0.5621045614958522
CHEMBL279,ECFP,scaffold,0.640934643954813,0.6360934325830848,0.7975546580536564,0.3962004886671733
CHEMBL279,ECFP,random,0.5658057081032243,0.5347825902817781,0.7312883085909264,0.47120419137778224
CHEMBL279,MACCS Keys,train,0.5545328047926825,0.5202803352053419,0.7213046063940961,0.48657977141629094
CHEMBL279,MACCS Keys,scaffold,0.7384246310707543,0.8411603787151843,0.9171479590094416,0.20154461655375722
CHEMBL279,MACCS Keys,random,0.6270027917649449,0.6506460148240385,0.8066263167192343,0.356637834162822
CHEMBL279,AP2,train,0.6378172546320477,0.6735515412537675,0.82070185893159,0.3353295082026613
CHEMBL279,AP2,scaffold,0.7585517211405183,0.8856901697268468,0.9411111356937856,0.15927556506644647
CHEMBL279,AP2,random,0.6826425254234445,0.7596594301486702,0.8715844366145314,0.2488448017140944
CHEMBL279,AP3,train,0.6246152857980857,0.6574830276185567,0.8108532713250632,0.35118615198746694
CHEMBL279,AP3,scaffold,0.7472584602696439,0.8514498107143411,0.9227403809925852,0.19177757024461028
CHEMBL279,AP3,random,0.6773365127774268,0.7462411327445665,0.8638524947840149,0.2621128840246981
CHEMBL279,AP2+AP3,train,0.5884701669774696,0.5827719490433699,0.7633950150763168,0.42491213477839596
CHEMBL279,AP2+AP3,scaffold,0.729204919346283,0.8205103997983942,0.9058202911165074,0.2211462136467479
CHEMBL279,AP2+AP3,random,0.6448213941943363,0.6853592671760883,0.8278642806499676,0.32231318956708577
