target,fingerprint,split,mae,mse,rmse,r2
CHEMBL4078,ECFP,train,0.4906724715891146,0.39974315058627113,0.6322524421354742,0.6698621953385113
CHEMBL4078,ECFP,scaffold,0.6606284335480141,0.6556660442531238,0.8097320817734245,0.39414289881743714
CHEMBL4078,ECFP,random,0.5764437963293612,0.5438915468759807,0.7374900317129587,0.5725564270934053
CHEMBL4078,MACCS Keys,train,0.504581758991346,0.42021839543929734,0.6482425436819905,0.6529522060722269
CHEMBL4078,MACCS Keys,scaffold,0.6685434002146039,0.679131273395434,0.8240942139072656,0.3724602513304244
CHEMBL4078,MACCS Keys,random,0.5968712381632433,0.5904102438185943,0.7683815743617193,0.5359974510579791
CHEMBL4078,AP2,train,0.6239185935579346,0.603699071374331,0.7769807406714345,0.5014201348856183
CHEMBL4078,AP2,scaffold,0.7149386414489661,0.7535873601257438,0.8680940963546198,0.30366036567642807
CHEMBL4078,AP2,random,0.6883749698277151,0.7306831364673887,0.854800056426875,0.4257571894467507
CHEMBL4078,AP3,train,0.6026869261037084,0.5695355695414106,0.7546758042639307,0.5296349109940459
CHEMBL4078,AP3,scaffold,0.7119372280858871,0.7455367904256636,0.8634447234337955,0.31109935823080803
CHEMBL4078,AP3,random,0.6695309630806328,0.7043714287544142,0.8392683889879412,0.44643552213772064
CHEMBL4078,AP2+AP3,train,0.5563757959945399,0.49420877250454026,0.7029998381966672,0.5918454163384443
CHEMBL4078,AP2+AP3,scaffold,0.6871514143182449,0.6981579417158413,0.8355584609803441,0.3548789807814894
CHEMBL4078,AP2+AP3,random,0.6368639993687214,0.6468897322344678,0.8042945556414439,0.49161030354100843
