target,fingerprint,split,accuracy,precision,recall,f1,auroc,auprc
CHEMBL240,ECFP,train,0.9349294045426643,0.7418300653594772,0.8937007874015748,0.8107142857142857,0.9764953471725126,0.8578248360195991
CHEMBL240,ECFP,scaffold,0.8747697974217311,0.5714285714285714,0.5569620253164557,0.5641025641025641,0.8073166739415104,0.5863722749361407
CHEMBL240,ECFP,random,0.8268876611418048,0.5578947368421052,0.5047619047619047,0.53,0.8085235920852358,0.541594249229849
CHEMBL240,MACCS Keys,train,0.9263351749539595,0.7147435897435898,0.8779527559055118,0.7879858657243817,0.9659141016463851,0.8063775761006557
CHEMBL240,MACCS Keys,scaffold,0.8637200736648251,0.5308641975308642,0.5443037974683544,0.5375,0.8266995853339153,0.5443078591816111
CHEMBL240,MACCS Keys,random,0.8103130755064457,0.5102040816326531,0.47619047619047616,0.49261083743842365,0.791682974559687,0.4850500461005888
CHEMBL240,AP2,train,0.9066912216083487,0.6645161290322581,0.8110236220472441,0.7304964539007093,0.9618038654259127,0.8078816285300355
CHEMBL240,AP2,scaffold,0.8655616942909761,0.5375,0.5443037974683544,0.5408805031446541,0.7814546049759931,0.5646830325209965
CHEMBL240,AP2,random,0.8158379373848987,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.7998477929984781,0.5114136869834679
CHEMBL240,AP3,train,0.9066912216083487,0.6655844155844156,0.8070866141732284,0.7295373665480427,0.9613872584108805,0.8011007702711882
CHEMBL240,AP3,scaffold,0.8471454880294659,0.4787234042553192,0.569620253164557,0.5202312138728323,0.8127728066346573,0.5576440343029193
CHEMBL240,AP3,random,0.8103130755064457,0.509090909090909,0.5333333333333333,0.5209302325581395,0.8101326375298978,0.5539902862279048
CHEMBL240,AP2+AP3,train,0.9226519337016574,0.7105263157894737,0.8503937007874016,0.7741935483870968,0.9702934860415175,0.8338844028487112
CHEMBL240,AP2+AP3,scaffold,0.8710865561694291,0.5584415584415584,0.5443037974683544,0.5512820512820513,0.8048886948930598,0.5825760395024235
CHEMBL240,AP2+AP3,random,0.8213627992633518,0.5384615384615384,0.5333333333333333,0.5358851674641149,0.808240921939552,0.5561579274800867
