,mean,std
accuracy,0.817462229829364,0.050061985361371124
precision,0.7832707831976597,0.1391459492678652
recall,0.6958379159056447,0.13679992345582145
f1,0.7351037811930692,0.13332924409287425
auroc,0.8436969243178043,0.0573979595765071
auprc,0.8095738896936677,0.15278137223486074
