,mean,std
accuracy,0.7955350287753216,0.055482658159127
precision,0.7292437634302686,0.14815583093121823
recall,0.7223746313806193,0.13044634876225172
f1,0.7240319169366195,0.13559298246317453
auroc,0.8260485272079734,0.06062326678640217
auprc,0.7869063586190495,0.16705424895414006
