,mean,std
accuracy,0.790091889014399,0.06157182812592317
precision,0.753397102600832,0.1550552506708854
recall,0.6880971017204012,0.1005552322050472
f1,0.7166961088176468,0.11988868694677511
auroc,0.8166100296167629,0.061040730814602526
auprc,0.787016666034631,0.15552290971959967
