,mean,std
accuracy,0.8052927387120237,0.05412516955121521
precision,0.7683676666227834,0.14652424439430395
recall,0.697003780860203,0.11445124150477343
f1,0.7290890747303365,0.12467862158913395
auroc,0.8339691477158562,0.060251657882265365
auprc,0.8038944776106083,0.14737730405480262
