target,fingerprint,split,accuracy,precision,recall,f1,auroc,auprc
CHEMBL240,ECFP,train,0.9163795803319762,0.7536507936507937,0.8904726181545386,0.8163686382393398,0.9683694919375995,0.8737073156104429
CHEMBL240,ECFP,scaffold,0.8637200736648251,0.5333333333333333,0.5063291139240507,0.5194805194805194,0.8017241379310345,0.5663658559413726
CHEMBL240,ECFP,random,0.8268876611418048,0.569620253164557,0.42857142857142855,0.4891304347826087,0.7916286149162861,0.5300924848354183
CHEMBL240,MACCS Keys,train,0.902286251174444,0.7176181706568447,0.8769692423105776,0.7893315327481432,0.9605885787694697,0.8439223793473705
CHEMBL240,MACCS Keys,scaffold,0.8232044198895028,0.41904761904761906,0.5569620253164557,0.4782608695652174,0.8003464644260148,0.4851583304104895
CHEMBL240,MACCS Keys,random,0.8084714548802947,0.5054945054945055,0.4380952380952381,0.46938775510204084,0.7846379647749511,0.4951682236384717
CHEMBL240,AP2,train,0.8833385530848732,0.6803680981595092,0.8319579894973743,0.7485656429294634,0.9471630721850264,0.810096926814279
CHEMBL240,AP2,scaffold,0.8471454880294659,0.4787234042553192,0.569620253164557,0.5202312138728323,0.7895569620253167,0.5264827942521467
CHEMBL240,AP2,random,0.7974217311233885,0.4766355140186916,0.4857142857142857,0.4811320754716981,0.8001304631441618,0.5089595214971914
CHEMBL240,AP3,train,0.8958659567804572,0.711660329531052,0.8424606151537885,0.771556166265888,0.9521254744717249,0.8234033557686562
CHEMBL240,AP3,scaffold,0.8232044198895028,0.41414141414141414,0.5189873417721519,0.4606741573033708,0.7739797031863814,0.5050508188467524
CHEMBL240,AP3,random,0.8103130755064457,0.5106382978723404,0.45714285714285713,0.4824120603015075,0.7949771689497718,0.527034714349796
CHEMBL240,AP2+AP3,train,0.9082367679298465,0.7392696989109545,0.8657164291072769,0.7975120939875605,0.9634679598061003,0.8559367004945005
CHEMBL240,AP2+AP3,scaffold,0.8379373848987108,0.45263157894736844,0.5443037974683544,0.4942528735632184,0.7960497599301615,0.5401792570677074
CHEMBL240,AP2+AP3,random,0.8268876611418048,0.5604395604395604,0.4857142857142857,0.5204081632653061,0.8191345944770602,0.5636201746129538
