,mean,std
accuracy,0.8159592803005747,0.04732736312203545
precision,0.7790295605789195,0.15473746096284594
recall,0.7174039971948633,0.13556563561745874
f1,0.7449090165690558,0.13925317753034766
auroc,0.8514495447772309,0.059635312227989366
auprc,0.8166155238284143,0.16332306006177089
