target,fingerprint,split,mae,mse,rmse,r2
CHEMBL5763,ECFP,train,0.41221010807035285,0.30018152416195415,0.5478882405764466,0.6959146116104213
CHEMBL5763,ECFP,scaffold,0.5854374157885164,0.6674520621791058,0.8169773939217081,0.4469527676124879
CHEMBL5763,ECFP,random,0.5055381647072629,0.44253246959527104,0.6652311399771293,0.5934967902131111
CHEMBL5763,MACCS Keys,train,0.4445339186633192,0.3392204570404081,0.582426353318948,0.6563679769539373
CHEMBL5763,MACCS Keys,scaffold,0.637871041442626,0.7504418192140603,0.8662804506706014,0.3781878958779582
CHEMBL5763,MACCS Keys,random,0.5406370557594233,0.5032143301103271,0.709376014614483,0.5377554090263911
CHEMBL5763,AP2,train,0.5231207565276746,0.4742864999836983,0.6886846157594188,0.5195453985446981
CHEMBL5763,AP2,scaffold,0.6963111675583857,0.8706577456819763,0.9330904273873869,0.27857761794291025
CHEMBL5763,AP2,random,0.5998557308149246,0.6320786849421087,0.7950337633975734,0.4193826850675262
CHEMBL5763,AP3,train,0.5022522943935069,0.4336393059145926,0.6585129504532106,0.5607212098474017
CHEMBL5763,AP3,scaffold,0.6732702590991535,0.8352912642455562,0.9139427029335899,0.3078820965504657
CHEMBL5763,AP3,random,0.5815823007756696,0.5824955673733059,0.7632139722078638,0.4649289394732038
CHEMBL5763,AP2+AP3,train,0.4686797529156502,0.3794915541334333,0.6160288581985696,0.6155731537728807
CHEMBL5763,AP2+AP3,scaffold,0.6535328947924461,0.7864672767728551,0.8868299029536922,0.3483373931567022
CHEMBL5763,AP2+AP3,random,0.5528981172396372,0.5345650252518666,0.7311395388377423,0.5089571646495628
