target,fingerprint,split,mae,mse,rmse,r2
CHEMBL240,ECFP,train,0.4070921224771282,0.29317444579064983,0.5414558576566051,0.5702181774334849
CHEMBL240,ECFP,scaffold,0.542259024639506,0.5133591741983424,0.7164908751675365,0.3777637563404186
CHEMBL240,ECFP,random,0.5292048820093099,0.5346360046962796,0.7311880775124001,0.3454544074962641
CHEMBL240,MACCS Keys,train,0.421997153982771,0.312189132887243,0.558738877193312,0.5423434189296643
CHEMBL240,MACCS Keys,scaffold,0.579482196258448,0.5675531724614973,0.7533612496415629,0.31207588787908536
CHEMBL240,MACCS Keys,random,0.5457166326913128,0.5797928017962967,0.7614412661501192,0.2901697236108369
CHEMBL240,AP2,train,0.4703009767848951,0.3817396750036162,0.6178508517462902,0.4403851508048596
CHEMBL240,AP2,scaffold,0.5797822503200314,0.5902195696292456,0.7682574891462143,0.2846022309546127
CHEMBL240,AP2,random,0.5698274837778664,0.6079494193506437,0.7797111127530784,0.2556980648409025
CHEMBL240,AP3,train,0.4622480960219729,0.3704473412582734,0.6086438542023351,0.4569392531414883
CHEMBL240,AP3,scaffold,0.5780680929811951,0.5833803648236072,0.7637934045431443,0.2928919456841187
CHEMBL240,AP3,random,0.5673452950660296,0.5968359907345989,0.7725516104019193,0.26930404284152254
CHEMBL240,AP2+AP3,train,0.4349368336104518,0.3288267985744788,0.5734342146876822,0.5179532772069486
CHEMBL240,AP2+AP3,scaffold,0.5651605090129942,0.5460323539939407,0.7389400205659054,0.33816100316828535
CHEMBL240,AP2+AP3,random,0.551812013669914,0.5686776633500567,0.7541071961929926,0.3037777949269247
