target,fingerprint,split,mae,mse,rmse,r2
CHEMBL4078,ECFP,train,0.4994220181776503,0.43246841184846607,0.6576233054328793,0.6553112280568703
CHEMBL4078,ECFP,scaffold,0.6547684601295779,0.6440898576043477,0.8025520902747358,0.40483967798916476
CHEMBL4078,ECFP,random,0.5786437141982333,0.5463231592904534,0.7391367662959633,0.5706454264456913
CHEMBL4078,MACCS Keys,train,0.512301172335442,0.4541734019848999,0.673923884414924,0.6380117763739424
CHEMBL4078,MACCS Keys,scaffold,0.6612608426804704,0.6603301277098251,0.8126069946227543,0.3898331315090363
CHEMBL4078,MACCS Keys,random,0.5957207212330557,0.5901232736274976,0.7681948148923538,0.5362229805123431
CHEMBL4078,AP2,train,0.6336352714305052,0.6393855233943151,0.7996158598941838,0.4903928129339896
CHEMBL4078,AP2,scaffold,0.70521218838937,0.7382557303291378,0.8592180924125945,0.31782729847154756
CHEMBL4078,AP2,random,0.6907943942868364,0.7365617476177773,0.8582317563559259,0.4211371975232071
CHEMBL4078,AP3,train,0.6172557580305993,0.6139511684662681,0.7835503611550875,0.5106646670743703
CHEMBL4078,AP3,scaffold,0.7118077301434218,0.7420964835289077,0.8614502211555277,0.3142783155398161
CHEMBL4078,AP3,random,0.6765735251195525,0.7183014101296318,0.8475266427255439,0.4354879701050669
CHEMBL4078,AP2+AP3,train,0.5685534082770901,0.5343885588613432,0.7310188498673226,0.5740781729997962
CHEMBL4078,AP2+AP3,scaffold,0.6848879664275147,0.694624854745922,0.8334415724847914,0.35814366994540603
CHEMBL4078,AP2+AP3,random,0.6379509364986933,0.6493575436950513,0.8058272418422272,0.4896708541157865
