,Mean,Std
accuracy,0.801170190925867,0.05470721982485203
precision,0.756574709279223,0.14897444940337157
recall,0.7000081681511036,0.11835358830918583
f1,0.7248569461532299,0.12736799132851187
auroc,0.8291060824570241,0.059725026086240245
auprc,0.7958756793168306,0.15299403438925235
