,Mean,Std
accuracy,0.8053879471723743,0.04743445064859477
precision,0.7268501597118587,0.16618991839272965
recall,0.7417119075903135,0.13299305000708558
f1,0.7315184416430089,0.14526774499400824
auroc,0.8282106515688168,0.05428678047215629
auprc,0.7826050962111455,0.16058856962465792
